name,company,website_visits,pages_viewed,time_spent,email_opens,demo_requested,converted
David Graham,"Mason, Merritt and Meyer",33,6,415,4,0,1
Megan Gonzales,Smith-Eaton,35,1,198,6,0,1
Breanna Phelps,"Johnson, Brown and Snyder",30,1,368,6,0,1
Kimberly Rodriguez,Rodgers and Sons,38,14,171,0,0,1
Nathan Bond,Bell and Sons,5,11,200,7,1,1
Thomas Williams,Mitchell-Ellison,25,3,150,7,0,0
Katherine Walker,Ferguson-Fowler,14,10,54,4,0,0
Jesse Smith,Woods LLC,28,12,397,1,0,1
Julie Walter,Sawyer-Thompson,27,14,178,4,0,1
Brian Hughes,"Johnson, Garcia and Miller",18,3,292,4,0,1
Derrick Lawson,"Blake, Holloway and Gamble",41,15,239,5,0,1
Angela Vang,"Mills, Green and Casey",20,4,184,1,0,1
Ashley Palmer,Flores-Lowe,28,1,29,9,0,0
Frank Moore,Huerta-Carter,14,7,406,4,0,1
William Nunez,Cooper-Patel,18,2,493,0,0,1
Amy Gonzalez,Travis Inc,39,4,249,2,0,1
Danielle Yates,"Foley, Hall and Duncan",9,1,434,1,0,1
Timothy Wheeler,"Nelson, Carlson and Chandler",26,10,451,9,0,1
Francisco Rogers,"Foley, Cruz and Bryan",14,7,146,0,0,0
James Casey,Jones-Perez,25,19,134,4,0,0
Thomas Rogers,Decker Inc,15,10,351,4,1,1
Deanna Clark,"Cummings, Martin and Jackson",2,16,136,3,0,0
Brandon Miller,Martin-Colon,39,4,376,6,0,1
David Reed,Mcmillan-Hurley,25,15,31,4,0,0
Ms. Yvonne Rivera DDS,Bautista-Allen,1,1,350,8,0,1
Linda Bird,"Owens, Smith and Galloway",10,5,287,9,1,1
Glenda Johnston,Padilla-Warner,12,4,122,6,0,0
Courtney Porter,Trevino-Hayes,42,15,181,5,1,1
Robert Luna,Perez PLC,49,13,194,8,1,1
David Prince,Flynn LLC,40,5,45,4,0,0
Dr. Briana Ramos MD,"Ibarra, Smith and Stephens",45,8,487,9,1,1
Thomas Farley,Bauer-Pitts,23,3,353,1,0,1
Erin Benjamin,Ramos Group,48,2,97,7,1,0
Anthony Nelson,Smith Group,2,11,15,8,0,0
Lauren Thomas,Roy PLC,39,11,325,7,0,1
Justin Schultz,Gross Inc,23,7,25,4,1,0
Laura Williams,"Woods, Fernandez and Dougherty",37,16,75,8,0,0
Samantha Coleman,Brewer-Mckenzie,24,14,295,3,1,1
Mindy Richmond,Martinez-Pierce,44,1,38,0,0,0
Rachel Johnson,Oliver-Wood,23,11,308,6,0,1
Jeremy Phillips,Mcdowell Group,24,7,182,0,1,1
Holly Campbell,Burton-Maxwell,2,15,168,2,0,0
Dennis Jordan,"Holt, Glover and Scott",12,6,372,5,0,1
Tracey Ford,Thomas LLC,35,4,91,5,0,0
Jonathan Ramos,Frey PLC,34,16,190,9,1,1
Shane Johnson,Arnold and Sons,44,16,234,8,0,1
Christina Mccoy,"Robinson, Stewart and Miller",25,3,14,6,0,0
Kristen Harris,Hardy Inc,11,13,26,6,0,0
Kayla Quinn,"Clark, Joyce and Sanders",11,18,431,8,0,1
William Dudley,"Leach, Long and Russo",16,15,106,1,1,0
Gerald Garza,Johnson LLC,16,4,421,1,0,1
Stephen Ramirez,"Watts, Stevens and Mcdonald",49,17,107,4,0,0
James Stewart,Schmidt-Olson,24,8,470,0,0,1
Randy Hines,"Castro, Robinson and Rivera",30,8,305,7,0,1
Susan Smith,Fitzgerald-Jones,2,14,102,5,0,0
Jamie Williams,Ortega-Dominguez,15,19,344,5,0,1
Melinda Diaz,"Galloway, Mahoney and Miller",23,4,273,9,0,1
James Cardenas,Rice-Torres,24,12,441,0,0,1
Nicole Mcgee,Rodgers-Hicks,5,8,306,3,0,1
Joseph Fields,Thomas-Wong,11,9,118,7,0,0
Brittany Lewis,Davis PLC,12,8,209,0,1,1
Thomas Singleton,"Carroll, Matthews and Ferguson",32,16,471,8,0,1
James Johnson,Nicholson-Branch,26,7,96,9,0,0
Monique Mcintosh,Rogers Group,29,16,436,7,0,1
Eddie Barker,Miller-Stevens,30,2,43,5,0,0
Brooke Alexander MD,"Mitchell, Jackson and Flores",1,2,381,8,0,1
Stephen Potts,"Taylor, Mcclure and Moore",45,13,426,7,0,1
Linda Cooper,"Calderon, Ross and Heath",31,7,99,0,0,0
Denise Nguyen,Mclaughlin Ltd,29,12,360,8,0,1
Alyssa Arias,Figueroa Inc,32,18,304,1,1,1
Michael Valdez,"Morrow, Phillips and Blake",43,7,395,5,0,1
Robert Howard,"Acevedo, Baker and Foster",22,7,118,8,0,0
Debra Martin,Wagner Inc,20,16,473,4,0,1
Brian Trujillo,"Anderson, Fischer and Holmes",22,12,383,5,0,1
Lori Campos,"Massey, Lawrence and Wood",43,2,125,3,0,0
Sherry Duffy,Strong-Shaffer,36,11,367,2,0,1
Bryan Thompson,Greer-Roman,17,13,495,7,0,1
Gregory Evans,Lane Ltd,48,1,124,0,0,0
Melissa Morales,Norton-Valentine,20,6,38,1,1,0
Dawn Sherman,Salazar-Johnson,24,15,117,1,0,0
Lonnie Russell,Hoover-Parker,3,1,255,6,1,1
Derrick Foley,Clayton-Hill,18,11,280,3,0,1
Karen Davis,Barrett-Smith,49,15,365,2,0,1
Donald Torres,"Valentine, Rosales and Guerra",30,15,294,4,0,1
Justin Cortez,"Poole, Sanchez and Morgan",46,19,313,1,1,1
William Ross,Velasquez Inc,23,13,230,3,0,1
Tammy Wilson,"Diaz, Berg and Chavez",49,18,303,2,0,1
Kayla Evans,"Adams, Graham and Alexander",25,7,26,0,0,0
Brittney Thomas,Gamble and Sons,11,1,461,8,0,1
Whitney Dawson,"Olson, Miller and Carter",45,1,46,3,0,0
James Taylor,"Carter, Herrera and Malone",21,14,469,7,0,1
Brooke Love,"Barnett, Jackson and Bryant",24,13,301,8,0,1
Tyler Roberts,Young-Martinez,49,11,447,0,0,1
Elizabeth Peck,Patel-Yoder,32,10,485,1,0,1
David Jackson,Williams LLC,27,9,19,7,0,0
Jenny Whitehead,Duarte-Perry,41,19,378,8,1,1
Molly Jennings,James-Carey,41,3,52,8,1,0
Adam Parker,Cruz Inc,20,8,79,3,0,0
Stacey Steele,Ford Group,28,9,257,2,0,1
Jessica Wyatt,"Reyes, Glenn and Anderson",24,5,326,0,0,1
Alexandria Wilson,Smith-York,28,6,121,5,0,0
Stephanie Jimenez,"Peterson, Miller and Green",19,13,347,6,0,1
